"ID товари";Каталог;Вендор;"Товарна пропозиція";"Прив'язана картка";"Роздр. ціна, грн";Гарантія;Посилання;"Посилання в каталозі";"Наявність валідної картинки";"Статус товару";Стан;Причина
2744627076;"Тактичний (військовий) одяг та взуття";"No brand";"Тактические шорты BR Stinger | Стрейч, олива | Лето, ТрО, полевые условия";"Nobrand ";1700;;;;ні;"не вивантажений";;"Некоректний вендор"
2746624121;"Тактичний (військовий) одяг та взуття";"No brand";"Брюки для тактических задач Sentinel 4.0";"Nobrand ";2650;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627079;"Тактичний (військовий) одяг та взуття";"No brand";"Тактические шорты BR Stinger | Стрейч, олива | Лето, ТрО, полевые условия";"Nobrand ";1700;;;;ні;"не вивантажений";;"Некоректний вендор"
2746595793;Термобілизна;"No brand";"Компрессионные летние носки графит «ShortDry PRO»";"Nobrand ";400;;;;ні;"не вивантажений";;"Некоректний вендор"
2746624125;"Тактичний (військовий) одяг та взуття";"No brand";"Брюки для тактических задач Sentinel 4.0";"Nobrand ";2650;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627085;"Тактичний (військовий) одяг та взуття";"No brand";"Тактические шорты BR Stinger | Стрейч, койот | Лето, ТрО, полевые условия";"Nobrand ";1700;;;;ні;"не вивантажений";;"Некоректний вендор"
2746595791;Термобілизна;"No brand";"Компрессионные летние носки серо-зеленые «ShortDry PRO»";"Nobrand ";390;;;;ні;"не вивантажений";;"Некоректний вендор"
2746624117;"Тактичний (військовий) одяг та взуття";"No brand";"Брюки для тактических задач Sentinel 4.0";"Nobrand ";2650;;;;ні;"не вивантажений";;"Некоректний вендор"
2744632449;"Тактичний (військовий) одяг та взуття";"No brand";"Брюки для тактических задач Sentinel 4.0";"Nobrand ";2650;;;;ні;"не вивантажений";;"Некоректний вендор"
2744622169;"Аксесуари для стрілецької зброї";"No brand";"Магазин для АК коробчатый с окном для контроля количества заряда патронов олива";"Nobrand ";750;;;;ні;"не вивантажений";;"Некоректний вендор"
